Player_1_id,Player_1_deck_id,Player_1_final_hp,Player_2_id,Player_2_deck_id,Player_2_final_hp,Final_turn,Winner
Malygos_freeze_mage_1,mage_malygos_freeze,30,Random_bot_1,mage_malygos_freeze,0,19,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,21,Random_bot_1,mage_malygos_freeze,0,32,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,1,Random_bot_1,mage_malygos_freeze,0,33,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,16,Random_bot_1,mage_malygos_freeze,0,33,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,15,Random_bot_1,mage_malygos_freeze,0,24,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,27,20,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,20,Random_bot_1,mage_malygos_freeze,0,22,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,20,34,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,30,23,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,15,24,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,6,Random_bot_1,mage_malygos_freeze,0,33,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,17,33,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,15,35,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,15,30,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,30,Random_bot_1,mage_malygos_freeze,0,32,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,21,Random_bot_1,mage_malygos_freeze,0,44,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,4,Random_bot_1,mage_malygos_freeze,0,29,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,22,Random_bot_1,mage_malygos_freeze,0,20,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,8,Random_bot_1,mage_malygos_freeze,0,44,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,30,Random_bot_1,mage_malygos_freeze,0,25,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,24,Random_bot_1,mage_malygos_freeze,0,42,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,20,Random_bot_1,mage_malygos_freeze,0,29,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,30,27,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,13,32,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,17,Random_bot_1,mage_malygos_freeze,0,27,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,23,30,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,4,23,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,30,Random_bot_1,mage_malygos_freeze,0,22,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,23,24,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,30,19,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,30,27,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,26,Random_bot_1,mage_malygos_freeze,0,42,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,29,Random_bot_1,mage_malygos_freeze,0,25,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,10,24,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,26,Random_bot_1,mage_malygos_freeze,0,29,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,23,30,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,8,Malygos_freeze_mage_1,mage_malygos_freeze,0,38,Random_bot_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,30,31,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,0,Random_bot_1,mage_malygos_freeze,3,47,Random_bot_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,6,26,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,21,31,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,30,22,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,30,Random_bot_1,mage_malygos_freeze,0,23,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,15,32,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,30,Random_bot_1,mage_malygos_freeze,0,23,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,27,Random_bot_1,mage_malygos_freeze,0,22,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,17,22,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,0,Malygos_freeze_mage_1,mage_malygos_freeze,29,21,Malygos_freeze_mage_1
Malygos_freeze_mage_1,mage_malygos_freeze,26,Random_bot_1,mage_malygos_freeze,0,30,Malygos_freeze_mage_1
Random_bot_1,mage_malygos_freeze,4,Malygos_freeze_mage_1,mage_malygos_freeze,0,42,Random_bot_1
Malygos_freeze_mage_1,mage_malygos_freeze,24,Random_bot_1,mage_malygos_freeze,0,25,Malygos_freeze_mage_1
